offspring_rattleprob,parent_midpoint,squirrel_id,Year
0.583333333,0.285714286,4842,1998
0.454545455,0.25,4925,1998
0.571428571,0.642857143,5350,1998
1,0.266666667,4417,1998
0.5,0.428571429,4535,1998
1,0.6875,4682,1998
0,0.266666667,4714,1998
0.470588235,0.333333333,5348,1998
0.227272727,0.4375,4235,1998
0.363636364,0.238095238,4603,1998
0,0.238095238,4878,1998
0.409090909,0.238095238,5378,1998
0.285714286,0.5,3606,1998
0.4375,0.4375,3700,1998
0.35,0.55,3769,1998
0.375,0.111111111,4430,1998
0.545454545,1,4453,1998
0.230769231,0.333333333,4582,1998
0.368421053,0.85,3899,1998
0.214285714,0.285714286,4076,1998
0.615384615,1,4154,1998
0.647058824,0.4375,4227,1998
0.666666667,0.4375,4608,1998
0.7,0.6875,4735,1998
0.5,0.4375,4950,1998
0.2,0.111111111,5418,1998
0.3125,0.235294118,3721,1998
0.333333333,0.19047619,4255,1998
0.85,0.722222222,4640,1998
0.4,0.375,3642,1998
0.285714286,0.6,4697,1998
0.705882353,0.666666667,4810,1998
1,0.266666667,5501,1998
0,0.333333333,5857,1998
0,0.55,3510,1998
0.5,0.4375,4549,1998
0.5,0.4375,4562,1998
1,0.111111111,3536,1998
0.333333333,0.235294118,5562,1998
0.25,0.263157895,4386,1998
0.416666667,0.19047619,5049,1998
0.666666667,0.333333333,5898,1998
0,0,4881,1998
0.333333333,0.692307692,4792,1998
0.5,0.642857143,4476,1998
0.4,0.833333333,3672,1998
0.777777778,0.375,3789,1998
0.666666667,0.428571429,4400,1998
0.6,0.125,4851,1998
0.333333333,0.7,6041,1998
1,0.642857143,4770,1998
1,0.666666667,5231,1998
0.666666667,0.4,4572,1998
1,0.3125,5125,1998
0.5,0.375,4712,1998
1,0.55,6035,1998
0.666666667,0.3125,4357,1998
1,0.3125,4903,1998
1,0.642857143,4149,1998
0.5,0.238095238,4595,1998
1,0.363636364,4787,1998
0,0.363636364,6166,1998
1,0.409090909,4435,1998
1,0.333333333,5857,1998
1,0.6875,4296,1998
1,0.4375,4817,1998
1,0.428571429,5496,1998
1,0.722222222,5500,1998
1,0.5,6050,1998
1,0.157894737,4538,1998
1,1,4125,1998
1,0.7,5251,1998
0.2,0.5625,4078,1999
0.4,0.384615385,4538,1999
0.642857143,0.166666667,4595,1999
0.571428571,0.2,4620,1999
0.6,0.705882353,5503,1999
0.4375,0.933333333,5562,1999
0.823529412,1,4735,1999
0.681818182,0.230769231,4842,1999
0.714285714,0.833333333,4133,1999
0.571428571,1,4682,1999
0.333333333,0.692307692,4909,1999
0.333333333,1,5187,1999
0.176470588,0.090909091,5348,1999
0.611111111,0.833333333,5674,1999
0.6,0.230769231,5763,1999
1,0.666666667,5866,1999
0.6,0.181818182,5879,1999
0.428571429,0.714285714,4149,1999
0.8125,0.2,4884,1999
1,0.823529412,6041,1999
0.818181818,0.384615385,5247,1999
0.8,0.666666667,4453,1999
0.8,1,5152,1999
0.533333333,0.8,5176,1999
0.272727273,0.285714286,5496,1999
0.823529412,0.866666667,4572,1999
0.571428571,0.416666667,4670,1999
0.5625,0.166666667,4603,1999
0.666666667,0.076923077,4899,1999
0.588235294,0.666666667,5586,1999
0.75,0.5625,4787,1999
0.3,0.5625,5199,1999
0.8,0.764705882,6050,1999
0.444444444,0.25,4167,1999
0.6,1,4542,1999
0.666666667,0.285714286,4895,1999
0.9375,0.823529412,4898,1999
0.166666667,0.285714286,5166,1999
0.636363636,0.666666667,5360,1999
0.6,0.4,5808,1999
0.333333333,0.5,5852,1999
0.769230769,0.625,4616,1999
0.6875,0.714285714,4476,1999
0.733333333,0.2,5682,1999
0.875,0.666666667,4597,1999
0.714285714,0.764705882,5696,1999
0.909090909,1,5526,1999
0.461538462,0.416666667,5561,1999
0.25,0.181818182,5748,1999
0.909090909,0.076923077,5264,1999
0.25,0.5,4760,1999
0.5,0.285714286,4535,1999
0.230769231,0.222222222,4697,1999
0.3,0.571428571,4284,1999
0.583333333,0.625,4896,1999
1,0.714285714,5350,1999
0.5,0.857142857,5472,1999
1,0.666666667,4125,1999
0.235294118,0.571428571,4466,1999
0.909090909,0.571428571,5513,1999
1,0.375,6035,1999
0,0.375,4921,1999
1,1,4974,1999
0.666666667,0.476190476,5133,1999
0.411764706,0.090909091,5544,1999
1,0.666666667,5575,1999
1,0.666666667,4925,1999
0.333333333,0.571428571,4712,1999
0.75,0.25,5231,1999
1,0.2,4451,1999
1,0.941176471,5168,1999
0.727272727,0.5625,5190,1999
1,1,5857,1999
1,0.823529412,5251,1999
1,0.714285714,4770,1999
0.75,0.666666667,4752,1999
0.6,0.476190476,4822,1999
0.6,0.416666667,5895,1999
0.666666667,0.4,4539,1999
0.75,0.375,5196,1999
1,0.666666667,4154,1999
0,0.333333333,4162,1999
0.75,1,4536,1999
0,0.923076923,4435,1999
1,0.166666667,6056,1999
0.75,0.666666667,4372,1999
1,0.076923077,4376,1999
1,0.764705882,4834,1999
0.8,0.5,5627,1999
1,0.076923077,6508,1999
1,0.230769231,5882,1999
0.75,1,4353,1999
0.5,0.705882353,4775,1999
0.5,1,4833,1999
0,0.875,4115,1999
1,0.5,4438,1999
1,0.882352941,4876,1999
1,0.666666667,4766,1999
1,1,4306,1999
0.75,0.307692308,4437,1999
0.5,1,4537,1999
1,0.384615385,6063,1999
0,0.181818182,4698,1999
0.75,0.375,5317,1999
0.333333333,0.692307692,4976,1999
1,0.52,7166,1999
0.5,0.8,5175,1999
1,0.090909091,5159,1999
0.428571429,0.428571429,4420,1999
0.666666667,0.5,4464,1999
0.111111111,0.5,4879,1999
0.5,0.875,4480,1999
